season_id,game_type_id,competition_id,group_id,category_base,category_label_raw,competition_label_raw,group_label_raw,has_calendario,has_clasificaciones,has_goleadores
21,2,26687908,26687913,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 5,True,True,True
21,2,26687908,26687914,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 6,True,True,True
21,2,26687908,26687915,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 7,True,True,True
21,2,26687908,26687916,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 8,True,True,True
21,2,26687908,26687917,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 9,True,True,True
21,2,26687908,26687918,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 10,True,True,True
21,2,26687908,26687919,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 11,True,True,True
21,2,26687908,26687920,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 12,True,True,True
21,2,26687908,26687921,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 13,True,True,True
21,2,26687908,26687922,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 14,True,True,True
21,2,26687908,26687923,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 15,True,True,True
21,2,26687908,26687924,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 16,True,True,True
21,2,26687908,26687925,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 17,True,True,True
21,2,26687908,26687926,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 18,True,True,True
21,2,26687908,26687927,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 19,True,True,True
21,2,26687908,26687928,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 20,True,True,True
21,2,26687908,26687929,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 21,True,True,True
21,2,26687908,26687931,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 22,True,True,True
21,2,26687908,26687932,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 23,True,True,True
21,2,26687908,26687933,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,CUADRANGULAR 1,True,True,True
21,2,26700978,26700983,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 3ª FASE,TRIANGULAR 1,True,True,True
21,2,26700978,26700984,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 3ª FASE,TRIANGULAR 2,True,True,True
21,2,26700978,26701201,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 3ª FASE,TRIANGULAR 3,True,True,True
21,2,26700978,26701503,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 3ª FASE,TRIANGULAR 4,True,True,True
21,2,26701883,26701895,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 FASE FINAL,FASE FINAL,True,True,True
21,2,24038501,24044310,PREBENJAMIN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN F-7,Grupo 1,True,True,True
21,2,24038501,24044311,PREBENJAMIN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN F-7,Grupo 2,True,True,True
21,2,24038501,24044312,PREBENJAMIN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN F-7,Grupo 3,True,True,True
21,2,24038501,24044313,PREBENJAMIN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN F-7,Grupo 4,True,True,True
21,2,24038501,24044314,PREBENJAMIN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN F-7,Grupo 5,True,True,True
21,2,24038501,24044315,PREBENJAMIN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN,PRIMERA DIVISIÓN AUTONÓMICA PREBENJAMÍN F-7,Grupo 6,True,True,True
