team_id,reason,evidence,scraped_at
-13056227,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13065142,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13066795,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13066887,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13067052,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13067647,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13067659,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13070662,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13078414,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13078861,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13081145,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13086833,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13087296,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13089516,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13089657,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13089753,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13092607,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13092837,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13093994,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13102936,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13104950,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13107016,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13107315,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13107732,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13107790,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13108164,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13108368,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13109232,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13109251,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13109267,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13109453,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13109497,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13121898,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13123449,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
