season,season_id,category,competition,competition_id,group,group_id,group_label_raw,subgroup_label,source_url,scraped_at
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 34,24037825,Grupo 34,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:14.979775+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 35,24037826,Grupo 35,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:17.561621+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 36,24037823,Grupo 36,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:21.781986+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 37,24037828,Grupo 37,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:24.214987+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 38,24037872,Grupo 38,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:26.749020+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 39,24037862,Grupo 39,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:29.318111+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 40,24037830,Grupo 40,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:32.532086+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 41,24037831,Grupo 41,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:35.596392+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 42,24037829,Grupo 42,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:38.015073+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 43,24037835,Grupo 43,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:40.951161+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 44,24037832,Grupo 44,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:43.627864+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 45,24037861,Grupo 45,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:47.193936+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 46,24037834,Grupo 46,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:49.708482+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 47,24037833,Grupo 47,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:53.205790+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 48,24037836,Grupo 48,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:56.423308+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 49,24037837,Grupo 49,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:59.178246+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 50,24037838,Grupo 50,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:01.714319+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 51,24428964,Grupo 51,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:04.873125+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 52,24037842,Grupo 52,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:07.865648+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 53,24037858,Grupo 53,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:11.364763+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 54,24037839,Grupo 54,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:14.035758+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 55,24037840,Grupo 55,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:16.619736+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 56,24037841,Grupo 56,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:19.394607+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 57,24037843,Grupo 57,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:22.273107+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 58,24037846,Grupo 58,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:25.695029+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 59,24037844,Grupo 59,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:28.574654+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 60,24037845,Grupo 60,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:30.943030+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 61,24037871,Grupo 61,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:33.678206+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 62,24041707,Grupo 62,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:36.908712+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 63,24037848,Grupo 63,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:40.225219+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 64,24428867,Grupo 64,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:43.629966+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 65,24037859,Grupo 65,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:46.422780+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 66,24037857,Grupo 66,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:49.380039+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 67,24037850,Grupo 67,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:53.429505+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 68,24037852,Grupo 68,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:56.108641+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 69,24037851,Grupo 69,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:33:58.657909+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 70,24853175,Grupo 70,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:34:02.816018+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 71,24037854,Grupo 71,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:34:05.892494+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 72,24037807,Grupo 72,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:34:08.813691+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 73,24037856,Grupo 73,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:34:11.492686+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 1,26700901,ELIMINATORIA 1,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:15.246917+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 2,26700902,ELIMINATORIA 2,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:17.245178+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 3,26700903,ELIMINATORIA 3,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:20.897791+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 4,26700925,ELIMINATORIA 4,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:23.188868+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 5,26700926,ELIMINATORIA 5,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:25.512166+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 6,26700927,ELIMINATORIA 6,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:28.292276+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 7,26701069,ELIMINATORIA 7,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:31.130992+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 8,26701087,ELIMINATORIA 8,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:34.321689+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 9,26701066,ELIMINATORIA 9,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:36.555659+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 10,26701088,ELIMINATORIA 10,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:38.927782+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 11,26701321,ELIMINATORIA 11,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:41.015837+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN 2ª FASE,26700860,ELIMINATORIA 12,26701096,ELIMINATORIA 12,,https://www.rffm.es/api/groups?competicion=26700860,2026-07-31T11:34:43.210892+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 1,26687909,TRIANGULAR 1,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:34:46.278303+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 2,26687910,TRIANGULAR 2,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:34:48.529035+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 3,26687911,TRIANGULAR 3,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:34:51.103361+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 4,26687912,TRIANGULAR 4,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:34:53.508832+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 5,26687913,TRIANGULAR 5,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:34:56.181330+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 6,26687914,TRIANGULAR 6,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:34:58.566767+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 7,26687915,TRIANGULAR 7,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:35:00.830482+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,26687908,TRIANGULAR 8,26687916,TRIANGULAR 8,,https://www.rffm.es/api/groups?competicion=26687908,2026-07-31T11:35:04.261327+00:00
