page_kind,group_id,competition_id,season_id,game_type_id,url,raw_saved_path
calendario,17145692,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145692&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145692.html
clasificaciones,17145692,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145692&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145692.html
goleadores,17145692,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145692&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145692.html
calendario,21416659,21416654,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21416654&grupo=21416659&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21416659.html
clasificaciones,21416659,21416654,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21416654&grupo=21416659&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21416659.html
goleadores,21416659,21416654,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21416654&grupo=21416659&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21416659.html
calendario,21396439,21394243,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21394243&grupo=21396439&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21396439.html
clasificaciones,21396439,21394243,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21394243&grupo=21396439&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21396439.html
goleadores,21396439,21394243,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21394243&grupo=21396439&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21396439.html
calendario,21396441,21394243,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21394243&grupo=21396441&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21396441.html
clasificaciones,21396441,21394243,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21394243&grupo=21396441&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21396441.html
goleadores,21396441,21394243,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21394243&grupo=21396441&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21396441.html
calendario,21396443,21394243,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21394243&grupo=21396443&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21396443.html
clasificaciones,21396443,21394243,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21394243&grupo=21396443&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21396443.html
goleadores,21396443,21394243,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21394243&grupo=21396443&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21396443.html
calendario,21396444,21394243,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21394243&grupo=21396444&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21396444.html
clasificaciones,21396444,21394243,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21394243&grupo=21396444&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21396444.html
goleadores,21396444,21394243,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21394243&grupo=21396444&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21396444.html
calendario,17145694,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145694&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145694.html
clasificaciones,17145694,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145694&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145694.html
goleadores,17145694,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145694&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145694.html
calendario,17145695,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145695&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145695.html
clasificaciones,17145695,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145695&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145695.html
goleadores,17145695,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145695&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145695.html
calendario,19538574,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=19538574&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/19538574.html
clasificaciones,19538574,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=19538574&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/19538574.html
goleadores,19538574,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=19538574&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/19538574.html
calendario,17145696,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145696&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145696.html
clasificaciones,17145696,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145696&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145696.html
goleadores,17145696,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145696&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145696.html
