player_id,season,season_id,competition_id,competition,group_id,group,team_id,team,club_name_raw,team_position,team_points,source_url,scraped_at
10006616,2023-2024,19,17145570,SEGUNDA INFANTIL,17145588,Grupo 18,525960,CULTURAL DEPORTIVA MIRAFLOR 'B',CULTURAL DEPORTIVA MIRAFLOR,4,58,https://www.rffm.es/fichajugador/10006616?temporada=19,2026-08-06T09:19:53.245811+00:00
10006795,2023-2024,19,17145505,SEGUNDA CADETE,17145525,Grupo 20,846520,A.D. PARLA 'D',A.D. PARLA,13,12,https://www.rffm.es/fichajugador/10006795?temporada=19,2026-08-06T09:19:53.740302+00:00
1000672,2023-2024,19,17145398,SEGUNDA DE AFICIONADOS,17145402,Grupo 4,12324028,C.D. SAMPER - COSLADA 'A',C.D. SAMPER - COSLADA,12,39,https://www.rffm.es/fichajugador/1000672?temporada=19,2026-08-06T09:19:53.818518+00:00
10006768,2023-2024,19,17145651,PREFERENTE FEMENINO CADETE,17145652,Grupo Único,9314329,C.F. POZUELO DE ALARCON ,C.F. POZUELO DE ALARCON,10,35,https://www.rffm.es/fichajugador/10006768?temporada=19,2026-08-06T09:19:53.889295+00:00
10006768,2023-2024,19,17145646,PRIMERA FEMENINO JUVENIL,19772103,Grupo 5,799214,C.F. POZUELO DE ALARCON 'B',C.F. POZUELO DE ALARCON,4,52,https://www.rffm.es/fichajugador/10006768?temporada=19,2026-08-06T09:19:53.889295+00:00
10006824,2023-2024,19,17145505,SEGUNDA CADETE,17145526,Grupo 21,16283067,C.F. COLLADO VILLALBA 'D',C.F. COLLADO VILLALBA,13,0,https://www.rffm.es/fichajugador/10006824?temporada=19,2026-08-06T09:19:53.928269+00:00
10006904,2023-2024,19,21131609,SEGUNDA FASE PRIMERA FEMENINO INFANTIL F7,21131620,SUBGRUPO 5 A,17152627,CLUB DE FUTBOL GETAFE FEMINAS 'C',CLUB DE FUTBOL GETAFE FÉMINAS,6,24,https://www.rffm.es/fichajugador/10006904?temporada=19,2026-08-06T09:19:54.177840+00:00
10006904,2023-2024,19,21098626,SEGUNDA FASE PRIMERA FEMENINO ALEVIN F-7,21098630,SUBGRUPO 8 A,17152621,CLUB DE FUTBOL GETAFE FEMINAS 'A',CLUB DE FUTBOL GETAFE FÉMINAS,2,37,https://www.rffm.es/fichajugador/10006904?temporada=19,2026-08-06T09:19:54.177840+00:00
10006904,2023-2024,19,17145794,PRIMERA FEMENINO ALEVIN F-7,17145800,Grupo 8,17152621,CLUB DE FUTBOL GETAFE FEMINAS 'A',CLUB DE FUTBOL GETAFE FÉMINAS,2,24,https://www.rffm.es/fichajugador/10006904?temporada=19,2026-08-06T09:19:54.177840+00:00
10006945,2023-2024,19,17145570,SEGUNDA INFANTIL,17145589,Grupo 19,1031212,A.D. ALHONDIGA 'C',A.D. ALHONDIGA,3,61,https://www.rffm.es/fichajugador/10006945?temporada=19,2026-08-06T09:19:54.295048+00:00
