venue_id,venue_name,address,locality,province,postal_code,latitude,longitude,google_maps_url,field_type_raw,surface_raw,source_url,scraped_at
12280603,FUENLABRADA - EL NARANJO 2 (HA) ,PASEO RIAZOR S/N,Fuenlabrada,Madrid,28942,40.3010915,-3.8088656,"https://www.google.com/maps?q=40.3010915,-3.8088656",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12280603,2026-08-02T22:44:18.508115+00:00
12280618,FUENLABRADA - EL NARANJO 1 (HA) ,PASEO RIAZOR S/N,Fuenlabrada,Madrid,28942,40.3010915,-3.8088656,"https://www.google.com/maps?q=40.3010915,-3.8088656",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12280618,2026-08-02T22:44:18.922996+00:00
12286982,GETAFE - JUAN DE LA CIERVA 1 (HA),AVDA. JUAN DE BORBON S/N,Getafe,Madrid,28903,40.3178339,-3.7152306,"https://www.google.com/maps?q=40.3178339,-3.7152306",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12286982,2026-08-02T22:44:19.043526+00:00
12286992,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA),"CTRA. DE BOADILLA A POZUELO KM. 1,400",Boadilla Del Monte,Madrid,28660,40.416903,-3.861397,"https://www.google.com/maps?q=40.416903,-3.861397",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12286992,2026-08-02T22:44:18.952857+00:00
12287019,GETAFE - CIUDAD DPTVA. 3 (HA),CALLE MARIA MONTESORRI S/N,Getafe,Madrid,28903,40.3248517,-3.7141323,"https://www.google.com/maps?q=40.3248517,-3.7141323",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12287019,2026-08-02T22:44:19.635122+00:00
12287110,MÓSTOLES - IKER CASILLAS 2 (HA),AVDA DE IKER CASILLAS S/N,Móstoles,Madrid,28935,40.3256746,-3.8830896,"https://www.google.com/maps?q=40.3256746,-3.8830896",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12287110,2026-08-02T22:44:19.628741+00:00
12287126,MÓSTOLES - IKER CASILLAS 3 (HA),AVDA. DE IKER CASILLAS S/N,Móstoles,Madrid,28935,40.3256746,-3.8830896,"https://www.google.com/maps?q=40.3256746,-3.8830896",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12287126,2026-08-02T22:44:19.127785+00:00
12287187,MÓSTOLES - IKER CASILLAS 4 (HA),AVDA. DE IKER CASILLAS S/N,Móstoles,Madrid,28935,40.3256746,-3.8830896,"https://www.google.com/maps?q=40.3256746,-3.8830896",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12287187,2026-08-02T22:44:19.361373+00:00
12287188,MÓSTOLES - IKER CASILLAS 5 (HA),AVDA. DE IKER CASILLAS S/N,Móstoles,Madrid,28935,40.3256746,-3.8830896,"https://www.google.com/maps?q=40.3256746,-3.8830896",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12287188,2026-08-02T22:44:19.210838+00:00
12287263,MUNICIPAL SAN BLAS 2 (HA),AVDA. DE GUADALAJARA 16,Madrid,Madrid,28022,40.4197334,-3.6192439,"https://www.google.com/maps?q=40.4197334,-3.6192439",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12287263,2026-08-02T22:44:20.014227+00:00
