player_id,season,season_id,called_up,starter_appearances,substitute_appearances,matches_played,goals_total,goals_per_match,yellow_cards,red_cards,second_yellow_cards,is_goalkeeper,jersey_number,source_url,scraped_at
10269137,2022-2023,18,23,14,9,21,0,0.0,8,0,0,False,10,https://www.rffm.es/fichajugador/10269137?temporada=18,2026-08-07T08:33:28.024499+00:00
10268651,2022-2023,18,18,18,0,18,5,0.3,0,0,0,False,8,https://www.rffm.es/fichajugador/10268651?temporada=18,2026-08-07T08:33:28.064733+00:00
10268867,2022-2023,18,30,20,10,29,6,0.2,1,0,0,False,11,https://www.rffm.es/fichajugador/10268867?temporada=18,2026-08-07T08:33:28.298831+00:00
10268710,2022-2023,18,13,13,0,13,4,0.3,0,0,0,False,28,https://www.rffm.es/fichajugador/10268710?temporada=18,2026-08-07T08:33:28.303939+00:00
10269042,2022-2023,18,24,24,0,24,1,0.0,3,0,0,False,6,https://www.rffm.es/fichajugador/10269042?temporada=18,2026-08-07T08:33:28.344944+00:00
102702,2022-2023,18,1,0,1,1,0,0.0,0,0,0,False,22,https://www.rffm.es/fichajugador/102702?temporada=18,2026-08-07T08:33:28.833659+00:00
102703,2022-2023,18,23,13,10,18,0,0.0,5,0,0,False,4,https://www.rffm.es/fichajugador/102703?temporada=18,2026-08-07T08:33:29.061619+00:00
1027111,2022-2023,18,22,19,3,22,16,0.7,4,0,0,False,21,https://www.rffm.es/fichajugador/1027111?temporada=18,2026-08-07T08:33:29.199634+00:00
10270802,2022-2023,18,25,25,0,25,10,0.4,0,0,0,False,3,https://www.rffm.es/fichajugador/10270802?temporada=18,2026-08-07T08:33:29.227260+00:00
102711,2022-2023,18,1,0,1,1,1,1.0,0,0,0,False,27,https://www.rffm.es/fichajugador/102711?temporada=18,2026-08-07T08:33:29.964239+00:00
1027110,2022-2023,18,19,9,10,17,4,0.2,0,0,0,False,30,https://www.rffm.es/fichajugador/1027110?temporada=18,2026-08-07T08:33:30.067456+00:00
10272466,2022-2023,18,26,26,0,26,0,0.0,3,0,0,True,25,https://www.rffm.es/fichajugador/10272466?temporada=18,2026-08-07T08:33:30.081713+00:00
1027068,2022-2023,18,32,20,12,20,0,0.0,4,1,0,True,13,https://www.rffm.es/fichajugador/1027068?temporada=18,2026-08-07T08:33:30.262089+00:00
10271981,2022-2023,18,30,11,19,28,4,0.1,1,0,0,False,10,https://www.rffm.es/fichajugador/10271981?temporada=18,2026-08-07T08:33:30.270183+00:00
10271928,2022-2023,18,21,21,0,21,9,0.4,1,0,0,False,11,https://www.rffm.es/fichajugador/10271928?temporada=18,2026-08-07T08:33:30.300438+00:00
10273433,2022-2023,18,17,17,0,17,2,0.1,0,0,0,False,10,https://www.rffm.es/fichajugador/10273433?temporada=18,2026-08-07T08:33:30.316254+00:00
10273798,2022-2023,18,32,21,11,28,9,0.3,5,0,0,False,17,https://www.rffm.es/fichajugador/10273798?temporada=18,2026-08-07T08:33:30.368677+00:00
